2025-10-21T07:52:28.726944Z  WARN sugarloaf\src\font\loader\mod.rs:166: Failed to load a font face 0 from 'C:\Windows\Fonts\mstmc.ttf' cause malformed font.
2025-10-21T07:52:28.739980Z  WARN sugarloaf\src\font\loader\mod.rs:166: Failed to load a font face 0 from 'C:\WINDOWS\Fonts\mstmc.ttf' cause malformed font.
2025-10-21T07:52:29.082404Z  WARN rio-backend\src\performer\handler.rs:1144: [csi_dispatch] params=[1], intermediates=[], should_ignore=false, action='t'
2025-10-21T07:54:45.374138Z  WARN rio-backend\src\performer\handler.rs:745: [unhandled osc_dispatch]: [['1''3''3'],['C'],['c''m''d''l''i''n''e''_''u''r''l''=''c''d'],] at line 745
2025-10-21T07:54:45.375724Z  WARN rio-backend\src\performer\handler.rs:745: [unhandled osc_dispatch]: [['1''3''3'],['D'],['0'],] at line 745
2025-10-21T07:54:45.387141Z  WARN rio-backend\src\performer\handler.rs:745: [unhandled osc_dispatch]: [['1''3''3'],['A'],['c''l''i''c''k''_''e''v''e''n''t''s''=''1'],] at line 745
2025-10-21T07:54:45.615486Z  WARN rio-backend\src\performer\handler.rs:745: [unhandled osc_dispatch]: [['1''3''3'],['A'],['c''l''i''c''k''_''e''v''e''n''t''s''=''1'],] at line 745
2025-10-21T07:54:45.624722Z  WARN rio-backend\src\performer\handler.rs:745: [unhandled osc_dispatch]: [['1''3''3'],['A'],['c''l''i''c''k''_''e''v''e''n''t''s''=''1'],] at line 745
2025-10-21T07:54:45.987120Z  WARN rio-backend\src\performer\handler.rs:745: [unhandled osc_dispatch]: [['1''3''3'],['C'],['c''m''d''l''i''n''e''_''u''r''l''=''l''s'],] at line 745
2025-10-21T07:54:46.000653Z  WARN rio-backend\src\performer\handler.rs:745: [unhandled osc_dispatch]: [['1''3''3'],['D'],['0'],] at line 745
2025-10-21T07:54:46.013033Z  WARN rio-backend\src\performer\handler.rs:745: [unhandled osc_dispatch]: [['1''3''3'],['A'],['c''l''i''c''k''_''e''v''e''n''t''s''=''1'],] at line 745
2025-10-21T07:54:49.255848Z  WARN rio-backend\src\performer\handler.rs:745: [unhandled osc_dispatch]: [['1''3''3'],['C'],['c''m''d''l''i''n''e''_''u''r''l''=''e''x''i''t'],] at line 745
2025-10-21T07:54:49.256359Z  WARN rio-backend\src\performer\handler.rs:745: [unhandled osc_dispatch]: [['1''3''3'],['D'],['0'],] at line 745
2025-10-21T07:54:49.264887Z  WARN rio-backend\src\performer\handler.rs:745: [unhandled osc_dispatch]: [['9'],['9'],['C'':''\\''U''s''e''r''s''\\''a''l''m''a''g''\\''G''i''t''h''u''b''\\''a''r''c''h''-''a''l''m''a''g''e''s''t''\\''s''h''e''l''l''\\''n''u''s''h''e''l''l''_''w''i''n''d''o''w''s'],] at line 745
2025-10-21T07:54:50.581914Z  WARN rio-backend\src\performer\handler.rs:745: [unhandled osc_dispatch]: [['9'],['9'],['C'':''\\''U''s''e''r''s''\\''a''l''m''a''g''\\''G''i''t''h''u''b''\\''a''r''c''h''-''a''l''m''a''g''e''s''t''\\''s''h''e''l''l''\\''n''u''s''h''e''l''l''_''w''i''n''d''o''w''s'],] at line 745
2025-10-21T07:54:56.233633Z  WARN rio-backend\src\performer\handler.rs:1168: [csi_dispatch] params=[0], intermediates=[62], should_ignore=false, action='q'
2025-10-21T07:54:56.377557Z  WARN rio-backend\src\performer\handler.rs:745: [unhandled osc_dispatch]: [['1''3''3'],['A'],['c''l''i''c''k''_''e''v''e''n''t''s''=''1'],] at line 745
2025-10-21T07:54:57.217564Z  WARN rio-backend\src\performer\handler.rs:745: [unhandled osc_dispatch]: [['1''3''3'],['A'],['c''l''i''c''k''_''e''v''e''n''t''s''=''1'],] at line 745
